PROLIFIC_PID,Age,Sex,Gender,Ethnicity,Race,Education,Income,Race_recode,IRI_EC,IRI_F,IRI_PD,IRI_PT,SVO_degree,SVO_type,RR_total,BIS_total,BFI_E,BFI_A,BFI_C,BFI_N,BFI_O
Z6PMZ8UK,37,Male,Male,No,Black or African American,Bachelor’s degree,"$100,000-$149,999",Black or African American,3.75,3.0,1.0,3.0,34.87532834460219,Prosocial,25,14,3.0,5.0,5.0,1.5,3.0
GTDAS4GM,37,Female,Female,No,Black or African American,Bachelor’s degree,"$75,000-$99,999",Black or African American,4.5,4.75,3.75,4.5,32.9052429229879,Prosocial,29,24,2.5,4.5,5.0,3.0,5.0
AUXKJ27B,30,Male,Male,No,White or Caucasian,High school diploma or GED,"$25,000-$49,999",White or Caucasian,3.25,2.0,3.0,1.5,7.815293546766881,Individualist,21,23,1.5,2.5,2.0,5.0,4.0
QH026G52,51,Male,Male,No,White or Caucasian,Bachelor’s degree,"$150,000 or more",White or Caucasian,4.0,2.5,2.25,4.0,7.815293546766881,Individualist,24,23,2.0,3.5,5.0,2.0,3.5
PI8SFZN8,44,Female,Female,No,Asian,Bachelor’s degree,"$75,000-$99,999",Asian,3.75,3.0,3.75,3.5,34.87532834460219,Prosocial,24,25,3.0,1.0,3.5,5.0,3.5
K5PTHLL6,25,Female,Female,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,4.75,4.75,3.75,4.75,7.467076640260333,Individualist,28,21,3.0,4.0,4.5,3.5,3.5
Q8XDAOE3,26,Female,Female,No,White or Caucasian,High school diploma or GED,"$50,000-$74,999",White or Caucasian,3.25,2.75,3.5,4.0,30.42906628717756,Prosocial,21,22,1.5,3.0,3.0,4.0,3.5
UB6T17K1,42,Female,Female,Yes,"White or Caucasian,Black or African American",Bachelor’s degree,"$75,000-$99,999",Multiracial,4.0,4.0,3.5,4.5,7.815293546766881,Individualist,27,26,1.5,4.0,3.0,4.0,4.0
KYJZ17O9,33,Male,Male,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,4.5,4.0,1.0,5.0,33.82208521749396,Prosocial,27,14,4.0,5.0,4.0,1.5,4.0
HV05PDE5,19,Male,Male,Yes,White or Caucasian,High school diploma or GED,"$25,000-$49,999",White or Caucasian,5.0,3.75,3.25,4.75,37.48241142771848,Prosocial,32,19,2.5,3.5,2.5,4.0,4.0
SSRJVJOA,30,Female,Female,No,Asian,Bachelor’s degree,"$150,000 or more",Asian,3.5,3.5,1.5,3.25,34.87532834460219,Prosocial,20,26,1.5,3.0,4.0,5.0,4.5
GL8A5W2X,30,Female,Female,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,3.25,3.25,2.25,4.5,28.477743008359536,Prosocial,25,15,3.0,4.5,4.0,1.0,4.0
FANFDTGF,54,Female,Female,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",White or Caucasian,5.0,3.0,2.0,4.75,18.94326306125152,Individualist,27,21,3.0,5.0,4.0,1.5,3.0
Z5Z01L14,52,Female,Female,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,4.25,2.0,2.5,3.5,34.87532834460219,Prosocial,32,18,4.5,2.0,4.5,3.0,4.5
STEVQFM7,28,Male,Male,Yes,Asian,Bachelor’s degree,"Less than $25,000",Asian,4.25,3.75,3.0,4.25,26.778840406955105,Prosocial,30,24,4.5,4.5,4.5,3.5,3.0
FLCJYUOE,38,Male,Male,No,Black or African American,"Some college, but no degree","$100,000-$149,999",Black or African American,3.75,3.0,1.5,3.75,26.044194802576037,Prosocial,22,21,4.0,3.5,2.0,2.0,3.5
LOUARDY5,53,Male,Male,No,White or Caucasian,Bachelor’s degree,"$75,000-$99,999",White or Caucasian,1.75,2.25,1.0,3.75,34.87532834460219,Prosocial,30,15,1.5,1.5,5.0,1.5,4.0
HBWS3WRO,38,Male,Male,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,5.0,5.0,3.75,5.0,7.815293546766881,Individualist,26,26,2.0,3.5,4.5,3.0,5.0
ZJD9JZUZ,32,Male,Male,No,"White or Caucasian,Asian","Some college, but no degree","$25,000-$49,999",Multiracial,3.0,2.25,1.25,2.75,45.0,Prosocial,20,17,1.0,3.5,4.5,1.0,3.5
B6FTZK8C,27,Female,Female,No,Black or African American,Bachelor’s degree,"Less than $25,000",Black or African American,3.75,3.5,1.5,3.0,23.587030525128235,Prosocial,32,14,3.0,3.0,5.0,2.0,5.0
OUPK9NEB,36,Female,Female,No,Black or African American,Associates or technical degree,"$25,000-$49,999",Black or African American,4.5,4.5,2.25,4.0,10.385176986776674,Individualist,27,21,1.5,4.5,3.0,3.0,4.5
K73KC1UA,65,Male,Male,No,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",Black or African American,4.0,4.0,4.0,4.0,45.98776039963981,Prosocial,24,19,3.5,3.0,3.5,3.5,3.5
8XBY00ER,31,Female,Female,No,Black or African American,Bachelor’s degree,"$100,000-$149,999",Black or African American,4.25,3.0,3.75,4.25,13.719345264021625,Individualist,31,23,4.0,4.0,4.5,2.0,3.5
GD9WWI5X,24,Female,Female,No,White or Caucasian,Associates or technical degree,"$25,000-$49,999",White or Caucasian,4.5,4.25,3.5,5.0,34.87532834460219,Prosocial,28,26,2.0,5.0,4.5,2.0,3.5
0VHV7J5M,29,Male,Male,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Asian,2.75,2.0,2.25,2.75,32.158103715827835,Prosocial,24,21,4.0,3.0,3.0,3.0,1.5
EAD9PTSG,52,Male,Male,Yes,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",White or Caucasian,4.75,4.75,2.5,5.0,34.87532834460219,Prosocial,29,23,2.5,4.5,4.5,1.5,4.5
4JX9UQRW,32,Female,Female,No,White or Caucasian,Bachelor’s degree,"$150,000 or more",White or Caucasian,4.75,4.25,3.5,4.75,7.815293546766881,Individualist,31,26,5.0,2.5,4.5,5.0,4.0
MEEGF97M,27,Male,Male,No,White or Caucasian,Some high school or less,"$25,000-$49,999",White or Caucasian,1.75,1.75,1.0,4.75,16.260204708311957,Individualist,28,21,1.0,1.5,3.5,3.5,1.5
NK21IFFF,49,Female,Female,No,White or Caucasian,"Some college, but no degree",Prefer not to say,White or Caucasian,3.5,3.5,2.5,3.25,18.14557865948141,Individualist,24,21,3.5,3.5,3.0,3.0,4.5
FHONN03W,36,Female,Female,No,White or Caucasian,Bachelor’s degree,"$100,000-$149,999",White or Caucasian,4.75,5.0,2.25,3.75,34.87532834460219,Prosocial,29,27,3.0,2.5,4.5,5.0,5.0
Z65DDRON,22,Male,Male,No,Black or African American,Bachelor’s degree,"$100,000-$149,999",Black or African American,4.25,4.5,4.5,4.75,9.549133928735928,Individualist,27,19,3.0,3.0,3.5,3.0,3.0
8JDP1S3Z,32,Male,Male,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",White or Caucasian,3.75,2.75,2.0,4.5,7.815293546766881,Individualist,28,23,4.0,2.5,4.0,3.5,4.5
L9QZ9799,31,Female,Female,No,White or Caucasian,Some high school or less,"$50,000-$74,999",White or Caucasian,5.0,5.0,4.25,4.5,34.87532834460219,Prosocial,29,28,4.5,4.0,3.0,4.5,5.0
YL4D1KO7,38,Female,Female,No,White or Caucasian,High school diploma or GED,"Less than $25,000",White or Caucasian,5.0,3.5,2.0,4.5,45.0,Prosocial,29,24,3.0,4.0,4.0,4.0,4.5
YCCX1M79,32,Male,Male,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Asian,3.25,2.75,2.75,3.25,34.87532834460219,Prosocial,32,17,2.5,4.0,4.0,1.5,4.5
ELF75Z11,40,Female,Female,No,White or Caucasian,Bachelor’s degree,"$75,000-$99,999",White or Caucasian,4.25,3.0,1.5,5.0,7.815293546766881,Individualist,24,25,3.0,2.0,4.5,4.0,5.0
88SKGELB,37,Female,Female,No,White or Caucasian,Associates or technical degree,"$100,000-$149,999",White or Caucasian,4.25,3.0,3.0,3.25,37.48241142771848,Prosocial,23,24,2.0,3.5,3.5,4.0,2.0
KM0U7C3O,52,Male,Male,No,White or Caucasian,Associates or technical degree,"$100,000-$149,999",White or Caucasian,4.25,3.25,1.25,3.75,32.158103715827835,Prosocial,23,16,1.5,3.5,4.5,1.0,5.0
3C9HH4P4,20,Female,Female,No,Asian,"Some college, but no degree","Less than $25,000",Asian,4.25,3.5,2.5,3.75,34.1669536080293,Prosocial,22,22,4.0,4.5,3.0,3.0,3.5
FPY3G2RN,28,Female,Female,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,4.0,2.75,3.5,4.5,29.43256844631617,Prosocial,26,21,2.0,4.5,3.0,4.0,4.5
PV9L0NK4,60,Male,Male,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",White or Caucasian,3.0,1.75,1.5,4.0,7.815293546766881,Individualist,23,13,3.0,5.0,4.0,1.0,4.0
Y3ZW90BS,34,Male,Male,No,White or Caucasian,Bachelor’s degree,Prefer not to say,White or Caucasian,4.25,4.5,3.75,2.5,45.0,Prosocial,22,28,1.0,1.5,2.5,4.0,4.5
ZRL8UU89,23,Male,Male,No,Black or African American,Bachelor’s degree,"$25,000-$49,999",Black or African American,4.5,4.0,4.25,4.25,13.47782275324132,Individualist,30,24,3.0,4.5,4.5,1.5,3.0
2353145V,23,Female,Female,No,White or Caucasian,High school diploma or GED,"$25,000-$49,999",White or Caucasian,5.0,4.25,3.75,4.25,37.48241142771848,Prosocial,26,28,2.0,4.0,3.0,3.0,4.0
N9AJLIYJ,61,Female,Female,No,White or Caucasian,High school diploma or GED,"Less than $25,000",White or Caucasian,4.5,3.5,3.0,4.5,7.815293546766881,Individualist,25,23,1.5,1.0,4.0,4.0,4.5
92AMSAAZ,43,Female,Female,No,White or Caucasian,Bachelor’s degree,"Less than $25,000",White or Caucasian,4.0,4.25,3.5,4.25,34.87532834460219,Prosocial,26,25,5.0,4.0,3.0,4.5,5.0
N83IXPDK,26,Male,Male,No,White or Caucasian,"Some college, but no degree","Less than $25,000",White or Caucasian,2.75,2.75,3.25,3.75,21.31124842581574,Individualist,18,19,3.5,3.0,2.5,2.0,4.5
JOVIWOO2,42,Male,Male,No,White or Caucasian,Associates or technical degree,"Less than $25,000",White or Caucasian,3.0,3.75,2.75,3.25,18.08344538304865,Individualist,21,17,3.5,4.0,2.5,3.5,3.0
1GDCKLZO,43,Female,Female,No,White or Caucasian,Bachelor’s degree,"$75,000-$99,999",White or Caucasian,5.0,4.0,1.25,5.0,34.87532834460219,Prosocial,19,23,2.5,4.0,4.5,3.0,4.5
X67R06MS,22,Male,Male,No,White or Caucasian,High school diploma or GED,"$100,000-$149,999",White or Caucasian,3.75,4.5,3.25,4.25,37.48241142771848,Prosocial,32,22,3.5,3.5,3.5,3.0,4.5
Y4N8MCWN,45,Female,Female,No,White or Caucasian,High school diploma or GED,"$50,000-$74,999",White or Caucasian,4.25,3.0,3.25,3.75,34.87532834460219,Prosocial,27,24,1.5,3.0,4.5,4.5,4.0
YOMA8T3S,22,Male,Male,Yes,White or Caucasian,High school diploma or GED,"$50,000-$74,999",White or Caucasian,2.0,2.75,2.0,3.75,28.10135130596177,Prosocial,25,18,3.0,4.0,3.0,3.0,2.5
RE74M6LL,33,Male,Male,No,White or Caucasian,High school diploma or GED,"Less than $25,000",White or Caucasian,4.25,4.0,2.25,4.25,-7.815293546766881,Individualist,24,22,4.0,3.5,4.0,4.0,3.0
WPMH56EI,20,Male,Female,No,Asian,"Some college, but no degree","$150,000 or more",Asian,4.5,5.0,2.5,5.0,37.48241142771848,Prosocial,27,28,1.0,3.0,4.5,4.0,3.0
PTS6FGY5,33,Male,Male,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,3.75,3.25,2.75,3.75,34.87532834460219,Prosocial,25,22,2.0,2.0,4.0,3.5,4.5
F7ARKNCT,50,Male,Male,No,Black or African American,Bachelor’s degree,"$75,000-$99,999",Black or African American,3.25,2.75,1.0,4.5,16.260204708311957,Individualist,29,13,2.5,4.5,5.0,1.5,3.0
1EN8B1B1,37,Male,Male,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",Asian,4.75,4.75,1.75,5.0,37.48241142771848,Prosocial,23,28,1.0,4.0,4.0,2.5,5.0
C23E9AKY,47,Male,Male,No,Black or African American,Bachelor’s degree,"$75,000-$99,999",Black or African American,4.5,2.0,1.0,3.75,34.87532834460219,Prosocial,21,11,3.0,5.0,4.5,1.0,2.0
S8PAC0ZH,23,Female,Female,No,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",Black or African American,4.25,3.75,2.5,3.25,34.87532834460219,Prosocial,26,22,2.5,3.0,3.5,3.0,4.5
HM7GOAF9,22,Male,Male,Yes,"White or Caucasian,American Indian/Native American or Alaska Native",Associates or technical degree,"$50,000-$74,999",Multiracial,5.0,4.75,2.75,5.0,37.48241142771848,Prosocial,28,23,1.5,4.5,2.0,2.5,4.5
LAA1OD1K,37,Female,Female,No,Black or African American,"Some college, but no degree","$25,000-$49,999",Black or African American,4.5,4.0,3.5,4.0,2.231174608031251,Individualist,29,15,2.5,3.5,3.0,4.0,3.5
0IT5KN4M,45,Male,Male,Yes,Black or African American,Bachelor’s degree,"$150,000 or more",Black or African American,3.75,3.75,2.5,4.75,34.87532834460219,Prosocial,30,12,4.0,4.0,5.0,1.5,3.0
6WV2NEE0,32,Female,Female,Yes,"White or Caucasian,Asian",Bachelor’s degree,"$100,000-$149,999",Multiracial,2.5,3.75,3.0,3.25,37.48241142771848,Prosocial,25,22,2.0,3.0,3.0,1.5,4.0
ZD5YRLF3,30,Female,Female,No,Black or African American,Associates or technical degree,"$50,000-$74,999",Black or African American,3.5,2.75,4.0,4.25,7.815293546766881,Individualist,25,15,2.5,3.0,4.5,2.5,4.5
HVPDYHIR,33,Male,Male,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",White or Caucasian,3.5,3.0,2.25,3.5,15.843082117687011,Individualist,29,23,2.0,5.0,4.0,1.0,4.5
POW9GSVY,45,Female,Female,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$25,000-$49,999",White or Caucasian,4.25,4.0,1.25,4.5,26.778840406955105,Prosocial,32,20,5.0,5.0,4.5,1.0,5.0
BJWPOBQK,25,Female,Female,No,Black or African American,Bachelor’s degree,"$50,000-$74,999",Black or African American,3.75,3.5,3.25,3.5,45.0,Prosocial,25,21,3.5,3.0,3.0,2.5,3.0
5DO63X5J,39,Male,Male,No,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",Black or African American,4.75,4.25,3.75,4.25,32.702307126339974,Prosocial,31,13,4.5,4.5,4.5,1.0,4.0
9TCBNURI,36,Male,Male,No,White or Caucasian,Associates or technical degree,"$25,000-$49,999",White or Caucasian,4.0,3.0,2.0,4.0,37.48241142771848,Prosocial,22,18,3.0,4.0,4.0,2.0,4.0
M5KTEK0H,35,Female,Female,No,White or Caucasian,Bachelor’s degree,"$100,000-$149,999",White or Caucasian,4.25,4.0,4.5,4.0,37.48241142771848,Prosocial,23,16,4.0,3.0,4.0,3.5,3.0
DNF7I1P8,24,Female,Female,No,Black or African American,Bachelor’s degree,"$25,000-$49,999",Black or African American,3.5,3.75,2.75,4.75,37.48241142771848,Prosocial,25,15,5.0,5.0,5.0,1.0,2.0
THDOFYVJ,38,Male,Male,No,Black or African American,Associates or technical degree,"$100,000-$149,999",Black or African American,4.25,3.75,2.5,4.0,-7.815293546766881,Individualist,29,20,2.0,4.0,4.0,2.0,5.0
M59HVEQF,21,Female,Female,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,5.0,5.0,4.0,5.0,29.80475147318013,Prosocial,31,27,1.5,2.0,4.0,4.0,4.0
MK4MT68C,50,Female,Female,No,White or Caucasian,Bachelor’s degree,"$150,000 or more",White or Caucasian,4.0,5.0,2.5,3.25,34.87532834460219,Prosocial,21,26,1.0,4.5,3.0,2.0,4.5
LYNM91ED,36,Female,Female,No,Black or African American,High school diploma or GED,"$25,000-$49,999",Black or African American,4.5,4.5,3.25,3.75,37.48241142771848,Prosocial,30,28,1.0,4.0,4.5,4.5,4.0
TO5RXBKL,26,Female,Female,No,White or Caucasian,High school diploma or GED,"$25,000-$49,999",White or Caucasian,5.0,5.0,4.0,5.0,37.48241142771848,Prosocial,24,27,2.0,1.0,4.5,3.5,5.0
IPBY8TLI,30,Male,Male,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",White or Caucasian,3.75,2.5,2.75,4.0,25.402381318770804,Prosocial,21,25,4.5,4.0,2.0,3.5,4.5
FAABLIH3,34,Male,Male,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,3.0,2.5,2.25,3.5,34.87532834460219,Prosocial,24,18,1.5,4.5,4.0,3.0,3.5
B5TKEJ2C,26,Female,Female,No,Asian,Bachelor’s degree,"$100,000-$149,999",Asian,4.75,3.25,4.25,4.25,37.48241142771848,Prosocial,28,28,2.5,4.0,3.0,4.5,5.0
2ZE636RI,25,Male,Male,No,Black or African American,"Some college, but no degree","Less than $25,000",Black or African American,4.0,4.5,4.0,4.5,33.084852928734975,Prosocial,30,23,3.0,5.0,5.0,1.0,2.5
2YD3BL09,37,Female,Female,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,5.0,4.0,1.0,4.5,37.48241142771848,Prosocial,28,20,3.0,4.5,5.0,1.5,4.5
O5GG3FTV,22,Female,Female,Yes,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",White or Caucasian,3.0,3.75,3.5,3.5,34.87532834460219,Prosocial,27,27,1.0,1.5,3.0,3.0,5.0
3QTXT7DJ,39,Female,Female,Yes,Prefer not to say,High school diploma or GED,"$50,000-$74,999",Prefer not to say,2.25,2.75,2.5,3.0,34.87532834460219,Prosocial,24,21,1.0,2.0,4.5,3.0,2.5
IRYI65XQ,33,Female,Female,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,4.25,4.5,3.75,4.0,33.765555992857905,Prosocial,26,26,3.0,4.0,4.0,3.5,3.5
3MC0RP22,32,Female,Female,Yes,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",White or Caucasian,4.25,3.0,1.75,3.75,37.01361585490981,Prosocial,20,26,1.5,4.0,3.5,4.0,4.5
I4T5QOQ3,27,Female,Female,No,"White or Caucasian,Black or African American","Some college, but no degree","$75,000-$99,999",Multiracial,3.75,4.0,2.0,3.0,34.87532834460219,Prosocial,25,23,4.0,1.5,5.0,4.0,4.5
GUBD8BKK,26,Female,Female,No,Asian,Bachelor’s degree,"$150,000 or more",Asian,4.25,4.5,2.25,4.25,37.48241142771848,Prosocial,28,27,3.0,2.0,3.0,3.0,5.0
Y11W6YEE,20,Male,Male,No,White or Caucasian,High school diploma or GED,"$75,000-$99,999",White or Caucasian,2.75,3.25,2.25,3.25,37.48241142771848,Prosocial,21,25,1.5,3.5,2.0,4.0,3.5
TWUPRP9C,43,Male,Male,No,Black or African American,Bachelor’s degree,"$75,000-$99,999",Black or African American,3.5,4.75,2.75,4.25,8.02406463528219,Individualist,26,22,3.0,3.0,5.0,2.0,5.0
AV6YPXJU,30,Female,Female,Yes,Other,Bachelor’s degree,"$100,000-$149,999",Other,3.75,2.0,2.75,4.25,37.48241142771848,Prosocial,24,21,1.5,4.0,3.0,3.0,2.5
KLPEK6B4,33,Female,Female,Yes,"White or Caucasian,Other",Associates or technical degree,"$100,000-$149,999",Multiracial,5.0,2.75,2.0,2.75,23.838740183171723,Prosocial,28,27,4.0,3.0,3.0,3.5,2.5
I3Z3I3RS,33,Female,Female,No,Asian,Bachelor’s degree,"$50,000-$74,999",Asian,3.5,3.25,3.5,4.25,18.67008750081828,Individualist,22,25,1.5,2.5,4.5,3.5,3.5
6MGZ913N,51,Female,Female,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$75,000-$99,999",White or Caucasian,5.0,1.5,2.25,4.75,-16.260204708311957,Competitive,32,27,4.5,4.5,5.0,3.0,4.5
S2IKMVQK,34,Male,Male,No,Black or African American,Associates or technical degree,"$75,000-$99,999",Black or African American,3.25,3.5,3.75,3.25,24.954750574579,Prosocial,29,21,4.0,3.5,4.0,3.0,3.0
B7HURJW2,39,Male,Male,No,Black or African American,Associates or technical degree,"Less than $25,000",Black or African American,4.75,3.75,3.25,3.75,45.89238545874056,Prosocial,18,23,2.0,2.0,3.5,3.0,5.0
FS5JUY7H,39,Male,Male,No,White or Caucasian,"Some college, but no degree","$100,000-$149,999",White or Caucasian,4.0,4.0,2.75,4.0,34.87532834460219,Prosocial,25,15,4.0,4.5,5.0,2.0,4.0
0BUK3E0S,30,Female,Female,Yes,American Indian/Native American or Alaska Native,Associates or technical degree,"$75,000-$99,999",American Indian/Native American or Alaska Native,4.5,3.75,2.5,3.5,37.48241142771848,Prosocial,29,24,3.0,5.0,4.0,3.0,3.5
14ZLZMV8,36,Female,Non-binary / third gender,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,4.75,4.25,4.5,4.5,34.87532834460219,Prosocial,28,25,4.5,2.0,2.0,5.0,4.5
AEAFGGIP,50,Female,Female,Yes,White or Caucasian,Associates or technical degree,"$150,000 or more",White or Caucasian,3.5,3.75,1.5,4.0,37.48241142771848,Prosocial,27,23,2.0,4.0,4.5,2.0,4.0
RQJRN75N,18,Female,Female,No,Asian,High school diploma or GED,"$75,000-$99,999",Asian,3.5,2.25,2.75,3.25,34.87532834460219,Prosocial,25,27,2.0,3.5,3.0,4.0,4.0
5IEHSDSC,31,Female,Female,No,White or Caucasian,High school diploma or GED,"Less than $25,000",White or Caucasian,5.0,4.75,4.5,5.0,37.48241142771848,Prosocial,28,28,1.5,4.0,3.5,3.0,2.5
OVU0ULGA,29,Female,Female,No,White or Caucasian,Bachelor’s degree,"Less than $25,000",White or Caucasian,2.75,3.5,4.5,4.25,37.092837297041534,Prosocial,15,28,1.5,1.5,1.5,5.0,1.0
AE7CJHC5,25,Female,Female,No,White or Caucasian,High school diploma or GED,"$25,000-$49,999",White or Caucasian,4.5,5.0,4.75,4.0,-7.815293546766881,Individualist,32,26,3.0,1.5,4.5,2.5,3.5
YKQ5273D,44,Female,Female,No,White or Caucasian,Associates or technical degree,"$25,000-$49,999",White or Caucasian,4.25,4.0,2.75,2.75,34.87532834460219,Prosocial,23,27,3.5,3.5,2.5,4.5,4.0
ABPH33RI,24,Male,Male,Yes,Other,High school diploma or GED,"$75,000-$99,999",Other,3.0,2.5,1.75,5.0,37.48241142771848,Prosocial,32,20,3.5,5.0,3.5,2.5,3.5
TMKF6UR9,24,Female,Female,No,Asian,Bachelor’s degree,"$50,000-$74,999",Asian,3.5,3.5,2.5,4.75,13.539949801970971,Individualist,25,17,3.0,3.0,4.0,3.5,5.0
3MQ2BEJ6,35,Male,Male,No,White or Caucasian,High school diploma or GED,"$50,000-$74,999",White or Caucasian,3.5,3.0,1.75,3.25,34.87532834460219,Prosocial,30,20,5.0,5.0,4.0,3.0,4.0
