PROLIFIC_PID,Age,Sex,Gender,Ethnicity,Race,Education,Income,Race_recode,IRI_EC,IRI_F,IRI_PD,IRI_PT,SVO_degree,SVO_type,RR_total,BIS_total,BFI_E,BFI_A,BFI_C,BFI_N,BFI_O
B3FARQZU,35,Male,Male,No,Black or African American,Bachelor’s degree,"$25,000-$49,999",Black or African American,3.25,3.0,3.5,3.75,38.02977696672776,Prosocial,22,16,3.0,3.5,4.0,2.0,3.5
J330EMLE,22,Male,Male,No,Black or African American,Bachelor’s degree,"Less than $25,000",Black or African American,4.0,4.25,4.25,3.75,9.462322208025622,Individualist,28,18,3.0,4.0,5.0,2.5,3.5
8YTSZB2C,47,Female,Female,No,"White or Caucasian,Native Hawaiian or Other Pacific Islander",Associates or technical degree,"$50,000-$74,999",Multiracial,5.0,3.75,1.75,4.75,45.0,Prosocial,31,21,3.0,5.0,5.0,3.5,5.0
FVWFE3K6,39,Male,Male,No,White or Caucasian,Associates or technical degree,"$25,000-$49,999",White or Caucasian,4.25,3.0,2.5,4.0,32.9052429229879,Prosocial,17,21,1.5,4.0,3.0,3.0,2.0
XRQTASLE,51,Male,Male,No,White or Caucasian,Bachelor’s degree,"$150,000 or more",White or Caucasian,5.0,5.0,4.0,5.0,34.87532834460219,Prosocial,32,20,3.0,5.0,5.0,1.0,3.0
K12NR4N9,35,Female,Non-binary / third gender,No,White or Caucasian,Bachelor’s degree,"Less than $25,000",White or Caucasian,3.0,4.5,2.5,5.0,37.48241142771848,Prosocial,22,28,2.0,2.0,3.0,3.0,4.5
H5Q4ERRC,50,Female,Female,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",White or Caucasian,5.0,5.0,2.25,5.0,41.91518766950241,Prosocial,31,20,2.0,4.5,5.0,3.0,2.5
IFQ5DUQ4,34,Male,Male,No,White or Caucasian,Associates or technical degree,"Less than $25,000",White or Caucasian,5.0,3.0,3.0,5.0,26.87253899165576,Prosocial,28,26,1.0,4.0,4.5,4.0,4.0
TLZU75MF,26,Female,Female,No,Black or African American,Bachelor’s degree,"$75,000-$99,999",Black or African American,5.0,5.0,2.75,4.25,34.87532834460219,Prosocial,22,26,2.0,3.0,3.5,5.0,5.0
CMB283XT,36,Male,Male,No,White or Caucasian,Associates or technical degree,"$150,000 or more",White or Caucasian,4.25,2.75,2.5,4.0,37.092837297041534,Prosocial,27,18,1.5,2.5,4.5,2.0,4.0
65EF8817,20,Female,Female,No,Black or African American,Bachelor’s degree,"$50,000-$74,999",Black or African American,5.0,4.25,3.25,4.75,29.538782259558097,Prosocial,32,22,3.0,5.0,5.0,1.5,4.5
JOB9AH7F,70,Female,Prefer not to say,No,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,4.5,3.25,1.75,4.0,39.47245984834383,Prosocial,22,17,2.5,4.0,4.0,2.0,3.5
DDAA1UO5,24,Male,Male,No,"White or Caucasian,Black or African American",High school diploma or GED,"Less than $25,000",Multiracial,4.0,4.5,1.0,2.0,37.48241142771848,Prosocial,21,21,2.0,3.5,2.5,1.5,4.5
1RYZ8NMP,26,Male,Female,No,Black or African American,Bachelor’s degree,"$100,000-$149,999",Black or African American,3.75,3.5,3.25,3.25,24.469798612454145,Prosocial,20,17,2.5,3.0,3.5,3.0,3.0
VRQA95W1,53,Female,Female,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,3.0,3.5,2.25,3.25,34.87532834460219,Prosocial,21,21,1.0,2.5,4.0,2.5,4.5
ZAK14ZU8,34,Female,Female,No,Asian,Bachelor’s degree,"$50,000-$74,999",Asian,3.25,2.75,2.25,3.5,34.87532834460219,Prosocial,22,26,1.0,2.5,3.0,4.0,3.0
6XCEPJGH,36,Male,Male,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",White or Caucasian,5.0,4.5,2.0,4.5,37.48241142771848,Prosocial,27,22,3.0,5.0,3.0,1.0,4.5
4ZFPW2MZ,52,Female,Female,No,Black or African American,Associates or technical degree,"$100,000-$149,999",Black or African American,4.75,4.0,3.0,5.0,23.838740183171723,Prosocial,28,23,2.0,4.0,5.0,3.5,3.0
LFYPVQQ6,27,Male,Male,No,White or Caucasian,Bachelor’s degree,"$25,000-$49,999",White or Caucasian,3.25,3.75,3.25,3.75,40.072890052350985,Prosocial,26,15,2.5,4.0,4.0,3.5,2.5
IZ5NU20E,21,Female,Female,No,Black or African American,High school diploma or GED,"Less than $25,000",Black or African American,4.5,3.0,3.25,4.5,-4.27142201738391,Individualist,27,25,2.5,3.0,4.5,5.0,5.0
X2BGHV10,51,Female,Female,Yes,White or Caucasian,High school diploma or GED,"Less than $25,000",White or Caucasian,4.0,3.75,2.5,4.75,34.87532834460219,Prosocial,26,22,1.5,4.0,4.0,3.0,3.5
FWZGY0XU,37,Male,Male,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",Asian,4.0,3.5,3.25,3.75,30.84380741314481,Prosocial,24,26,3.0,4.5,2.0,2.5,4.0
SPDQJPRH,34,Male,Male,No,White or Caucasian,Bachelor’s degree,"$150,000 or more",White or Caucasian,5.0,5.0,1.0,5.0,7.815293546766881,Individualist,32,12,3.0,5.0,5.0,1.0,5.0
AUBWTOVF,30,Male,Male,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,5.0,4.0,3.25,4.25,37.48241142771848,Prosocial,26,22,2.5,4.0,3.0,3.5,5.0
MERXBFBB,25,Female,Female,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",White or Caucasian,5.0,4.5,3.75,5.0,36.86989764584402,Prosocial,24,20,5.0,5.0,5.0,1.0,4.0
CXPJ8BXK,38,Female,Female,No,Asian,Bachelor’s degree,"$75,000-$99,999",Asian,3.75,3.25,3.0,3.25,16.58733855692742,Individualist,27,23,2.5,3.5,3.5,4.0,5.0
ULXYNFYX,65,Male,Male,No,White or Caucasian,Bachelor’s degree,"$75,000-$99,999",White or Caucasian,3.5,3.25,1.75,4.0,12.824398102235154,Individualist,22,18,4.0,4.0,5.0,2.0,3.5
4KSYTS11,36,Female,Prefer not to say,No,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,3.75,3.75,2.5,3.25,34.87532834460219,Prosocial,28,24,2.0,3.5,2.0,4.0,5.0
XM34JFLJ,26,Male,Male,Yes,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,4.5,5.0,3.0,4.75,45.0,Prosocial,29,17,5.0,4.5,5.0,2.0,5.0
EH1ASJPH,25,Male,Male,No,Other,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Other,4.75,5.0,3.0,4.75,9.147080384875157,Individualist,32,22,3.0,5.0,4.5,3.0,3.5
AVJ07QLR,60,Male,Male,No,White or Caucasian,Bachelor’s degree,"$75,000-$99,999",White or Caucasian,4.25,3.25,2.5,4.0,42.56679894526279,Prosocial,23,24,2.5,5.0,5.0,2.0,2.0
Y04YO1G7,33,Male,Male,No,"White or Caucasian,Black or African American,American Indian/Native American or Alaska Native",Bachelor’s degree,"$150,000 or more",Multiracial,5.0,3.5,1.5,5.0,37.48241142771848,Prosocial,29,19,2.5,4.0,4.5,1.5,3.0
KGCT3D1B,48,Female,Female,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",White or Caucasian,3.75,2.75,2.75,4.25,15.214540962311448,Individualist,28,18,3.5,4.5,5.0,1.5,3.5
4IPJA54B,31,Male,Male,No,White or Caucasian,High school diploma or GED,"$75,000-$99,999",White or Caucasian,4.25,3.5,2.75,4.0,34.87532834460219,Prosocial,24,22,1.5,4.5,5.0,3.5,4.5
QADPUMOE,48,Male,Male,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",White or Caucasian,3.75,3.5,2.25,3.75,45.89238545874056,Prosocial,32,17,3.0,5.0,5.0,1.0,4.0
31BHBESS,36,Male,Male,No,White or Caucasian,Bachelor’s degree,"$100,000-$149,999",White or Caucasian,4.5,4.0,2.25,4.75,34.87532834460219,Prosocial,25,12,3.0,4.5,5.0,2.0,5.0
QOGZCC68,25,Male,Male,No,White or Caucasian,Associates or technical degree,"$50,000-$74,999",White or Caucasian,5.0,5.0,4.0,5.0,32.158103715827835,Prosocial,24,22,4.5,5.0,5.0,1.0,3.0
5EVAFKOI,34,Female,Non-binary / third gender,No,White or Caucasian,Bachelor’s degree,"$100,000-$149,999",White or Caucasian,4.75,4.0,2.25,4.75,-9.836554505438963,Individualist,31,27,3.0,5.0,4.5,2.0,3.0
ZCB66JDA,31,Male,Male,Yes,"Other,Prefer not to say","Some college, but no degree","Less than $25,000",Multiracial,3.25,3.0,2.0,4.5,16.260204708311957,Individualist,27,22,2.5,5.0,3.0,4.5,3.0
L4OQKLM7,28,Male,Male,No,White or Caucasian,Bachelor’s degree,"$75,000-$99,999",White or Caucasian,5.0,3.5,4.0,5.0,34.87532834460219,Prosocial,28,21,5.0,5.0,5.0,1.0,3.0
5VBWGKFO,24,Male,Male,No,Black or African American,Bachelor’s degree,"$25,000-$49,999",Black or African American,4.75,5.0,3.5,5.0,26.3207209757639,Prosocial,31,19,2.5,4.5,4.5,1.0,2.5
LULB5GYR,30,Female,Female,No,White or Caucasian,Bachelor’s degree,"$100,000-$149,999",White or Caucasian,5.0,4.75,4.25,5.0,37.48241142771848,Prosocial,32,28,5.0,3.5,4.0,5.0,3.5
G6R1E33Y,53,Female,Female,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$25,000-$49,999",White or Caucasian,4.5,4.5,2.5,3.0,15.47525508916384,Individualist,27,25,2.5,3.0,3.0,3.0,5.0
65DQZSPQ,54,Female,Female,No,White or Caucasian,Bachelor’s degree,"$100,000-$149,999",White or Caucasian,3.5,3.75,2.25,3.75,37.48241142771848,Prosocial,23,20,2.5,3.0,4.0,2.0,3.0
P0FDEP5V,29,Female,Female,Yes,White or Caucasian,Bachelor’s degree,"Less than $25,000",White or Caucasian,5.0,4.5,4.25,4.75,45.0,Prosocial,21,28,1.0,4.0,2.5,4.5,5.0
ZKKOEIOD,35,Male,Male,No,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",Black or African American,4.25,4.25,3.5,3.25,8.841814560191676,Individualist,26,19,3.0,3.0,4.0,2.5,3.0
Q6NRG45L,32,Female,Female,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",White or Caucasian,4.25,3.75,3.5,3.75,16.260204708311957,Individualist,22,26,4.0,3.0,4.0,3.5,3.0
MGE91R3O,25,Female,Female,No,Asian,Bachelor’s degree,"$50,000-$74,999",Asian,4.0,3.0,3.75,3.0,7.815293546766881,Individualist,25,23,3.5,4.0,3.5,4.0,4.0
6M792YMW,27,Female,Female,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",White or Caucasian,3.25,4.5,3.5,2.25,15.47525508916384,Individualist,24,28,3.0,2.0,3.0,4.0,4.5
2CD0B69O,33,Female,Female,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$75,000-$99,999",White or Caucasian,4.5,4.0,4.75,5.0,18.434948822922006,Individualist,22,28,1.0,3.0,2.5,5.0,3.5
31ME01V3,28,Male,Male,Yes,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,4.75,4.5,3.25,4.5,34.87532834460219,Prosocial,32,25,1.0,4.0,3.0,3.5,4.5
71LLEFLB,29,Male,Male,No,Asian,Bachelor’s degree,"$75,000-$99,999",Asian,3.25,1.25,2.75,4.25,36.86989764584402,Prosocial,21,22,1.0,2.5,3.5,3.5,1.5
78KLS8FR,26,Male,Male,No,White or Caucasian,High school diploma or GED,"Less than $25,000",White or Caucasian,4.0,3.25,3.25,4.5,37.01361585490981,Prosocial,28,23,3.0,3.5,2.5,5.0,5.0
KNERI0ML,24,Female,Female,No,Black or African American,High school diploma or GED,"Less than $25,000",Black or African American,3.5,3.75,2.5,4.0,35.596867625787304,Prosocial,28,23,4.5,3.0,4.0,3.5,3.5
9CKX44CO,51,Male,Male,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,3.25,3.75,2.25,4.25,34.87532834460219,Prosocial,28,21,1.5,2.5,4.5,3.0,4.5
SCZ5DPG9,37,Female,Female,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",White or Caucasian,3.5,1.25,1.5,3.75,34.35938029758941,Prosocial,27,20,4.0,2.5,3.5,2.0,4.0
B2CFWWQJ,31,Male,Male,No,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,3.5,3.25,2.0,4.25,22.822062881390856,Prosocial,29,22,1.5,2.5,4.5,2.5,4.5
R7G6H8LP,41,Female,Female,No,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",Black or African American,4.5,4.25,2.75,3.75,37.48241142771848,Prosocial,30,22,2.0,2.5,4.5,4.0,3.5
H04ZVH49,32,Female,Female,No,White or Caucasian,Bachelor’s degree,"Less than $25,000",White or Caucasian,4.0,4.5,2.75,4.25,45.0,Prosocial,24,25,1.0,3.0,3.5,4.5,4.5
EYV4366S,67,Female,Female,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",White or Caucasian,2.75,2.5,2.25,3.5,34.87532834460219,Prosocial,19,15,1.5,3.0,3.5,1.0,2.5
Z1VJ15F0,34,Female,Female,No,White or Caucasian,Bachelor’s degree,"Less than $25,000",White or Caucasian,5.0,5.0,3.0,5.0,45.0,Prosocial,24,28,4.0,4.5,5.0,4.0,5.0
5B9N6IL8,31,Female,Female,No,White or Caucasian,Bachelor’s degree,Prefer not to say,White or Caucasian,4.25,4.0,3.5,3.0,34.87532834460219,Prosocial,26,26,1.0,3.5,3.0,4.0,4.5
PAWXOLHN,26,Male,Male,Yes,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",White or Caucasian,2.25,2.0,2.0,2.0,10.385176986776674,Individualist,24,17,4.0,3.0,4.0,2.0,4.0
XYWQCXF1,43,Male,Male,No,White or Caucasian,High school diploma or GED,"Less than $25,000",White or Caucasian,3.25,3.25,2.75,3.5,20.67442476087389,Individualist,21,20,3.0,4.5,3.5,3.0,3.5
8R5PPMRT,27,Male,Male,Yes,American Indian/Native American or Alaska Native,"Some college, but no degree","$75,000-$99,999",American Indian/Native American or Alaska Native,4.25,2.0,3.0,3.5,40.072890052350985,Prosocial,26,22,1.5,3.0,2.0,4.5,3.5
BKRUDJZS,65,Female,Female,No,White or Caucasian,Associates or technical degree,Prefer not to say,White or Caucasian,5.0,4.75,2.0,5.0,34.87532834460219,Prosocial,31,20,4.5,4.5,5.0,2.5,5.0
06TCS2X1,35,Male,Male,No,White or Caucasian,High school diploma or GED,"Less than $25,000",White or Caucasian,3.25,4.5,4.75,3.25,37.48241142771848,Prosocial,27,25,1.5,2.5,2.5,4.5,4.5
K7V9D9OJ,39,Male,Male,No,Black or African American,Bachelor’s degree,"Less than $25,000",Black or African American,2.25,1.25,1.0,2.25,37.48241142771848,Prosocial,23,11,2.5,3.0,5.0,1.0,4.0
SUI6H62Y,65,Male,Male,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,4.5,4.75,1.25,4.25,37.48241142771848,Prosocial,28,14,4.5,5.0,5.0,1.5,5.0
RBDA9YKD,24,Male,Male,No,"Asian,Native Hawaiian or Other Pacific Islander",Bachelor’s degree,Prefer not to say,Multiracial,3.75,2.75,2.5,4.5,45.0,Prosocial,24,23,2.0,4.0,4.5,3.0,4.0
EWEL91GD,47,Female,Female,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$75,000-$99,999",White or Caucasian,4.5,4.75,2.25,3.25,-7.815293546766881,Individualist,29,26,4.0,4.5,4.5,4.0,3.0
G8ACXQ1I,27,Female,Female,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",White or Caucasian,4.75,3.75,3.0,3.75,34.87532834460219,Prosocial,26,22,1.5,4.0,3.5,3.0,4.0
63R7N045,33,Male,Male,No,White or Caucasian,High school diploma or GED,"$25,000-$49,999",White or Caucasian,4.75,4.5,2.25,4.25,37.092837297041534,Prosocial,18,19,1.0,2.0,2.0,3.5,3.5
INDP9D1Z,40,Female,Male,Yes,White or Caucasian,Bachelor’s degree,"$100,000-$149,999",White or Caucasian,5.0,4.75,3.0,4.75,31.49768024038355,Prosocial,22,21,1.5,4.0,4.5,3.0,5.0
PK1EQ7GG,32,Male,Male,No,Asian,Bachelor’s degree,"$100,000-$149,999",Asian,3.25,3.5,1.5,4.25,34.87532834460219,Prosocial,26,11,4.0,2.5,3.0,1.0,3.5
H4VWDUJF,25,Female,Female,No,"White or Caucasian,Black or African American","Some college, but no degree","$25,000-$49,999",Multiracial,4.25,4.75,3.5,5.0,31.49768024038355,Prosocial,31,22,3.5,4.0,3.5,4.0,3.0
FAL3UZA1,27,Male,Male,No,Black or African American,Bachelor’s degree,"$50,000-$74,999",Black or African American,4.0,4.0,3.0,4.0,-13.012197576732364,Competitive,29,20,2.5,4.5,4.5,1.5,3.0
AZCEER54,23,Female,Female,Yes,Prefer not to say,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","Less than $25,000",Prefer not to say,4.5,2.5,2.25,3.75,7.815293546766881,Individualist,32,24,3.0,2.5,5.0,3.0,4.5
KJ2KEPZX,33,Male,Male,No,"White or Caucasian,Asian","Some college, but no degree","$25,000-$49,999",Multiracial,3.25,3.0,1.75,4.25,34.87532834460219,Prosocial,27,16,3.0,2.0,4.5,1.0,4.0
42FPD463,49,Male,Male,No,White or Caucasian,Associates or technical degree,"$100,000-$149,999",White or Caucasian,4.0,3.75,1.5,4.75,34.87532834460219,Prosocial,29,20,5.0,3.0,5.0,1.0,4.5
ZIPHUMXZ,52,Female,Female,No,White or Caucasian,"Some college, but no degree","$50,000-$74,999",White or Caucasian,5.0,4.5,2.75,4.5,23.056593829115076,Prosocial,23,25,3.5,4.0,1.5,3.5,3.5
NPK6DLQB,26,Female,Female,Yes,White or Caucasian,"Some college, but no degree","$25,000-$49,999",White or Caucasian,4.5,4.0,3.0,3.25,37.092837297041534,Prosocial,28,22,3.0,3.5,2.5,3.5,4.0
5G72WPOC,27,Female,Female,No,Black or African American,Associates or technical degree,"$25,000-$49,999",Black or African American,4.0,3.75,2.5,3.25,34.87532834460219,Prosocial,22,26,1.5,2.5,3.0,5.0,5.0
T90JP02U,25,Male,Male,No,White or Caucasian,Associates or technical degree,"Less than $25,000",White or Caucasian,3.5,5.0,2.0,3.75,37.48241142771848,Prosocial,29,22,1.5,3.0,3.0,3.5,4.5
PVHJ209L,55,Male,Male,No,White or Caucasian,Bachelor’s degree,"$75,000-$99,999",White or Caucasian,2.75,2.0,2.5,2.75,34.87532834460219,Prosocial,27,21,1.5,2.0,5.0,2.0,2.0
3Y0LRDVE,48,Female,Female,No,Black or African American,Bachelor’s degree,"$50,000-$74,999",Black or African American,4.0,4.5,2.0,4.0,37.48241142771848,Prosocial,28,22,2.0,2.0,5.0,3.0,2.0
WXYY3SZ4,54,Female,Female,No,Black or African American,Bachelor’s degree,"$100,000-$149,999",Black or African American,4.0,3.75,4.5,3.25,31.31774183974311,Prosocial,28,18,3.0,3.0,4.0,4.5,3.0
2L8WK0ZR,18,Male,Male,No,"White or Caucasian,Black or African American","Some college, but no degree","$50,000-$74,999",Multiracial,5.0,2.75,2.75,3.75,14.74356283647074,Individualist,28,17,3.0,4.0,3.5,2.0,4.0
1D7DJOTV,24,Male,Male,No,White or Caucasian,Bachelor’s degree,"$25,000-$49,999",White or Caucasian,3.75,3.75,3.0,3.25,48.96152688251023,Prosocial,24,18,4.0,3.5,4.0,3.0,3.0
8F6ELM9X,34,Female,Female,No,White or Caucasian,Associates or technical degree,"$25,000-$49,999",White or Caucasian,4.25,4.5,1.75,4.25,37.48241142771848,Prosocial,23,17,2.0,4.5,4.0,3.0,5.0
9EDMK667,28,Female,Female,No,Black or African American,Associates or technical degree,"$50,000-$74,999",Black or African American,5.0,5.0,4.5,5.0,34.87532834460219,Prosocial,24,25,3.0,4.0,3.5,2.5,3.5
PVMJNOXS,32,Female,Female,No,Black or African American,Associates or technical degree,"$25,000-$49,999",Black or African American,5.0,4.5,3.5,4.5,0.9315565980774816,Individualist,28,20,1.0,4.5,4.5,2.5,3.0
2AEMFXN6,44,Male,Male,No,Asian,Bachelor’s degree,"$150,000 or more",Asian,2.75,1.5,2.75,2.25,34.87532834460219,Prosocial,24,19,1.0,2.5,3.5,4.0,3.5
9VBB05E6,39,Female,Female,No,White or Caucasian,Associates or technical degree,"$75,000-$99,999",White or Caucasian,4.25,3.5,3.75,3.5,22.758643381349263,Prosocial,26,28,3.0,4.0,3.5,5.0,3.5
WT53E3JR,31,Female,Female,No,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",Black or African American,4.75,4.5,3.75,5.0,32.52790205079883,Prosocial,25,25,3.0,4.5,5.0,3.5,2.5
TS4M6X87,31,Male,Male,No,Black or African American,Associates or technical degree,"$100,000-$149,999",Black or African American,5.0,5.0,2.25,5.0,10.385176986776674,Individualist,32,18,3.5,5.0,5.0,1.5,3.0
9PILLPD2,38,Male,Male,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",White or Caucasian,4.5,3.25,1.25,4.0,32.9052429229879,Prosocial,29,20,4.0,3.5,5.0,1.0,4.5
5A1L6UBR,45,Male,Male,No,Black or African American,High school diploma or GED,"$75,000-$99,999",Black or African American,4.0,3.25,2.75,2.5,32.7352262721076,Prosocial,19,24,2.0,2.0,4.0,4.0,4.5
XA738UZ2,38,Male,Male,No,Black or African American,Bachelor’s degree,"$25,000-$49,999",Black or African American,4.75,3.0,2.0,4.25,31.49768024038355,Prosocial,31,23,3.0,5.0,4.0,1.0,3.0
PS0KXBV4,18,Male,Male,No,White or Caucasian,"Some college, but no degree","$75,000-$99,999",White or Caucasian,4.0,3.5,3.75,3.75,32.9052429229879,Prosocial,27,21,2.0,3.0,2.5,3.5,3.5
KDX7EP4L,33,Male,Male,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$75,000-$99,999",White or Caucasian,4.75,3.25,2.25,4.25,7.815293546766881,Individualist,26,27,2.0,4.0,2.5,3.5,4.0
XUTKVQ8I,28,Male,Male,No,Black or African American,Bachelor’s degree,"$100,000-$149,999",Black or African American,3.75,3.75,4.0,4.0,32.35457960346705,Prosocial,32,22,2.5,4.0,4.5,2.5,3.5
ZL3C854P,25,Male,Male,No,Black or African American,Bachelor’s degree,"$75,000-$99,999",Black or African American,3.0,3.0,3.0,3.0,34.35938029758941,Prosocial,30,22,3.0,3.0,4.5,4.0,3.0
ENZ2ZHCC,28,Female,Female,No,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",Black or African American,3.5,3.5,3.5,3.25,36.33261282004452,Prosocial,31,23,1.0,2.0,4.0,3.0,3.5
4RPF42BC,36,Male,Female,No,White or Caucasian,Associates or technical degree,"$50,000-$74,999",White or Caucasian,4.0,2.75,2.0,3.25,18.51063673069624,Individualist,23,17,2.0,2.5,3.5,2.5,3.5
08W0Z2BK,33,Male,Male,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",White or Caucasian,4.0,2.5,1.0,5.0,7.815293546766881,Individualist,29,11,4.5,3.5,5.0,1.0,4.5
T3FBJXCY,27,Female,Female,No,White or Caucasian,Bachelor’s degree,"$25,000-$49,999",White or Caucasian,4.75,4.0,2.5,2.75,37.48241142771848,Prosocial,19,21,2.5,3.5,4.0,4.0,5.0
32YYU5O8,32,Female,Male,No,White or Caucasian,Bachelor’s degree,"$100,000-$149,999",White or Caucasian,5.0,4.0,2.0,4.25,34.87532834460219,Prosocial,28,17,5.0,5.0,3.0,1.5,4.5
